ue_id,slice_type,ru_choice,num_rb_alloc,max_rb,power_alloc_w,power_per_rb_w,snr_linear,snr_db,throughput_mbps,r_min_mbps,ru_power_remaining_w,max_power_effective_w,max_snr_db,max_throughput_mbps,success,reason
43,uRLLC,3,7,10,9.976312,1.4251874285714285,180809.4615235559,52.572211527984,44.0095789415154,5.0,15.962098149688792,15.962098149688792,53.06439146891866,63.45941907614746,True,"(np.float64(44009578.9415154), 4.870147723640779e-05, np.float64(237651726.28418317), np.float64(142591035.7705099))"
21,uRLLC,4,7,10,1.995262,0.2850374285714286,90860.93230428245,49.583771887027766,41.5078986827478,5.0,1.9952631496887892,1.9952631496887892,48.03475478961539,57.44456218588219,True,"(np.float64(41507898.6827478), 5.031976430925222e-05, np.float64(224142652.88683817), np.float64(134485591.73210287))"
38,eMBB,3,4,10,1.995262,0.4988155,14655.169150034984,41.65990835432446,19.92847743165628,50.0,5.985786149688792,5.985786149688792,42.45172092340635,50.76805850806467,False,insufficient_throughput (19928477.43 < 50000000.00)
39,eMBB,3,9,10,1.995262,0.2216957777777778,24548.352917529915,43.900223582583855,47.25020750280917,50.0,9.976311149688792,9.976311149688792,50.432349220826424,60.31179661182205,False,insufficient_throughput (47250207.50 < 50000000.00)
31,eMBB,0,9,10,1.995262,0.2216957777777778,23378.38502691965,43.68814506906145,47.02195593016033,50.0,3.9905241496887895,3.9905241496887895,46.24087028300298,55.29930802485758,False,insufficient_throughput (47021955.93 < 50000000.00)
35,eMBB,5,7,10,11.971574,1.710224857142857,47922.88430954214,46.805429488224384,39.18211220754938,50.0,11.971574149688792,11.971574149688792,45.25640994266976,54.122029099320535,False,insufficient_throughput (39182112.21 < 50000000.00)
8,eMBB,5,9,10,3.990525,0.44339166666666663,15897.348479691262,42.01324694341446,45.21934928564762,50.0,11.971574149688792,11.971574149688792,46.32688427653575,55.4021692331488,False,insufficient_throughput (45219349.29 < 50000000.00)
22,eMBB,3,9,10,3.990525,0.44339166666666663,403650.65035609016,56.06005656548988,60.33771409763155,50.0,9.976311149688792,9.976311149688792,59.58188115877835,71.25362670691726,True,"(np.float64(60337714.097631544), 0.00023366210633223697, np.float64(316772999.0125657), np.float64(190063799.40753937))"
3,eMBB,0,5,10,1.995262,0.39905240000000003,47016.679165765476,46.7225195122629,27.93764827367008,50.0,3.9905241496887895,3.9905241496887895,46.72251967517137,55.875296742157296,False,insufficient_throughput (27937648.27 < 50000000.00)
20,eMBB,0,7,10,1.995262,0.2850374285714286,41463.98120751321,46.17670998998676,38.655806661448466,50.0,3.9905241496887895,3.9905241496887895,47.63799050967761,56.970081930250174,False,insufficient_throughput (38655806.66 < 50000000.00)
11,eMBB,1,4,10,1.995262,0.4988155,32351.160898180016,45.09889869629993,21.57346721797725,50.0,1.9952621496887895,1.9952621496887895,41.11949893539648,49.17496809210418,False,insufficient_throughput (21573467.22 < 50000000.00)
32,eMBB,0,7,10,1.995262,0.2850374285714286,21998.725940207838,43.42397529314944,36.351498786511826,50.0,3.9905241496887895,3.9905241496887895,44.885255812840285,53.67818187283206,False,insufficient_throughput (36351498.79 < 50000000.00)
29,eMBB,6,10,10,15.962099,1.5962099,563187.4047366141,57.50652933572705,68.77172918030406,50.0,15.96209914968879,15.96209914968879,57.506529376454154,68.7717292290093,True,"(np.float64(68771729.18030407), 0.0002056674944376744, np.float64(361051578.1965963), np.float64(216630946.91795784))"
38,eMBB,3,7,10,1.995262,0.2850374285714286,7685.854171359556,38.85692140058766,32.52860751109605,50.0,5.985786149688792,5.985786149688792,42.079114456532494,50.32248708249177,False,insufficient_throughput (32528607.51 < 50000000.00)
42,uRLLC,4,7,10,11.971574,1.710224857142857,1582888.9433211759,61.99450445503717,51.89720638841452,5.0,11.971575149688789,11.971575149688789,60.44548527225395,72.28640475196032,True,"(np.float64(51897206.38841452), 3.993341972520334e-05, np.float64(280244914.4974384), np.float64(168146948.69846305))"
5,uRLLC,0,4,10,1.995262,0.4988155,26733.231912714826,44.270514659398685,21.17721687488929,5.0,3.9905241496887895,3.9905241496887895,43.30141469222659,51.78414980811509,True,"(np.float64(21177216.874889288), 9.891015673454221e-05, np.float64(114356971.12440217), np.float64(68614182.6746413))"
11,eMBB,0,5,10,1.995262,0.39905240000000003,81766.26431374715,49.125741564290465,29.374624354476182,50.0,1.9952621496887895,1.9952621496887895,46.11544193346759,55.14931261630768,False,insufficient_throughput (29374624.35 < 50000000.00)
